	74629
COORDINATING COUNCIL ON JUVENILE JUSTICE AND DELINQUENCY PREVENTION	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION RESTITUTION EDUCATION SPECIALIZED TRAINING AND TECHNICAL ASSISTANCE PROGRAM	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF REGIONAL PROGRAMS OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION JUVENILE ACCOUNTABILITY INCENTIVE BLOCK GRANTS PROGRAM	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF UNITED STATES ATTORNEY	1
BUREAU OF JUSTICE STATISTICS UNITED STATES DEPARTMENT OF JUSTICE	1
NATIONAL INSTITUTE OF JUSTICE UNITED STATES DEPARTMENT OF JUSTICE	1
AVAILABLE FROM NATIONAL CRIMINAL JUSTICE REFERENCE SERVICE	1
UNITED STATES DEPARTMENT OF JUSTICE NATIONAL INSTITUTE OF JUSTICE OFFICE OF DEVELOPMENT TESTING AND ADMINISTRATION	1
OFFICE OF DEVELOPMENT TESTING AND DISSEMINATION	1
NCJRS-GIP PROGRAM DISTRIBUTOR	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS NATIONAL INSTITUTE OF JUSTICE TECHNOLOGY ASSESSEMENT PROGRAM	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE BUREAU OF JUSTICE ASSISTANCE	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS BUREAU OF JUSTICEE ASSISTANCE	1
UNITED STATES DEPARTMENT OF JUSTICE BUREAU OF JUSTICE ASSISTANCE	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE OFFICE OF DEVELOPMENT TESTING AND DISSEMINATION MODEL PROGRAM DEVELOPMENT DIVISION	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE INFORMATION	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION OFFICE OF CRIMINAL JUSTICE PROGRAMS	1
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ADMINISTRATION LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	1
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION OFFICE OF COMMUNITY ANTI-CRIME PROGRAMS	1
DEPARTMENT OF JUSTICE OFFICE FOR VICTIMS OF CRIME	1
OFFICE OF COMMUNITY ANTI-CRIME PROGRAMS LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	1
NATIONAL INSTITUTE FOR JUVENILE JUSTICE AND DELINQUENCY PREVENTION OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION LAW ENFORCEMENT ASSISTANCE ADMINISTRATION	1
UNITED STATES DEPARTMENT OF JUSTICE MARSHALS SERVICE	1
UNITED STATES DEPARTMENT OF JUSTICE UNITED STATES MARSHALS SERVICE BUSINESS SERVICES DIVISION	1
UNITED STATES MARSHALS SERVICE	1
PRISONER SERVICES DIVISION OFFICE OF INTERAGENCY MEDICAL SERVICES	1
DRUG ENFORCEMENT ADMINISTRATION OFFICE OF DIVERSION CONTROL	1
DEPARTMENT OF JUSTICE DRUG ENFORCEMENT ADMINISTRATION OFFICE OF COMPLIANCE AND REGULATORY AFFAIRS	1
STATISTICAL SERVICES SECTION OFFICE OF PLANNING AND EVALUATION PLANNING AND INSPECTION DIVISION	1
UNITED STATES DEPARTMENT OF JUSTICE UNITED STATES ATTORNEY OFFICE DISTRICT OF RHODE ISLAND	1
TERRORIST RESEARCH AND ANALYTICAL CENTER	1
DEPARTMENT OF JUSTICE FEDERAL BUREAU OF INVESTIGATION LABORATORY	1
FORENSIC SCIENCE RESEARCH AND TRAINING CENTER FBI ACADEMY	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE OFFICE OF TECHNOLGY TRANSFER	1
UNITED STATES DEPARTMENT OF JUSTICE UNITED STATES ATTORNEY OFFICE DISTRICT OF SOUTH DAKOTA	1
UNITED STATES DEPARTMENT OF JUSTICE TAX DIVISION CIVIL TRIAL SECTIONS COURT OF FEDERAL CLAIMS SECTION APPELLATE SECTION OFFICE OF REVIEW	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF UNITED STATES ATTORNEY DISTRICT OF COLUMBIA	1
UNITED STATES DEPARTMENT OF JUSTICE BUREAU	1
OFFICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF LEGAL EDUCATION LEGAL EDUCATION INSTITUTE EXECUTIVE OFFICE FOR UNITED STATES ATTORNEYS	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS COMMUNITY CAPACITY DEVELOPMENT OFFICE OFFICE OF WEED AND SEED	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE UNITED STATES TRUSTEE	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF UNITED STATES ATTORNEYS NORTHERN DISTRICT OF IOWA LAW ENFORCEMENT COORDINATING COMMITTEE	1
UNITED STATES DEPARTMENT OF JUSTICE DEPARTMENTAL ETHICS OFFICE	1
UNITED STATES DEPARTMENT OF JUSTICE ENVIRONMENT AND NATURAL RESOURCES DIVISION	1
UNITED STATES DEPARTMENT OF JUSTICE CRIMINAL DIVISION OFFICE OF ENFORCEMENT OPERATIONS	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFOREMENT AND CRIMINAL JUSTICE	1
UNITED STATES DEPARTMENT OF JUSTICE JUSTICE MANAGEMENT DIVISION INFORMATION AND ADMINISTRATIVE SERVICES	1
UNITED STATES DEPARTMENT OF JUSTICE CRIMINAL DIVISION ORGANIZED CRIME AND RACKETEERING SECTION	1
OFFICE FOR CIVIL RIGHTS	1
ASSET FORFEITURE AND MONEY LANUNDERING SECTION CRIMINAL DIVISION	1
UNITED STATES DEPARTMENT OF JUSTICE FEDERAL TRADE COMMISSION	1
LRP PUBLICATIONS	1
NAMI	1
UNITED STATES DEPARTMENT OF JUSTICE JUSTICE MANAGEMENT DIVISION JUSTICE PERFORMANCE REVIEW TEAM	1
DC CHILDREN ADVOCACY CENTER	1
VICTIM WITNESS ASSISTANCE UNIT UNITED STATES ATTORNEY OFFICE	1
ASSET FORFEITURE OFFICE CRIMINAL DIVISION UNITED STATES DEPARTMENT OF JUSTICE	1
NATIONAL DRUG INTELLIGENCE CENTER UNITED STATES DEPARTMENT OF JUSTICE	1
NATIONAL REHABILITATION HOSPITAL ADA COMPLIANCE PROGRAM	1
UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION UNITED STATES DEPARTMENT OF JUSTICE CIVIL RIGHTS DIVISION	1
HERITAGE CONSERVATION AND RECREATION SERVICE DEPARTMENT OF INTERIOR	1
DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION INTERAGENCY ARCHEOLOGICAL SERVICES 1977-	1
NATIONAL PARK SERVICE SPANISH COLONIAL RESEARCH CENTER ZIMMERMAN LIBRARY UNIVERSITY OF NEW MEXICO	1
GRAND TETON NATIONAL PARK	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICEDENALI NATIONAL PARK AND PRESERVE	1
HABS/HAER DIVISION NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
DIVISION OF PUBLICATIONS NATIONAL PARK SERVICE	1
UNITED STATES DEPARTMENT OF INTERIOR UNITED STATES GPO SUPT OF DOCS DISTRIBUTOR	1
NATIONAL RECREATION AND PARK ASSOC	1
NATIONAL PARK SERVICE PRESIDIO PROJECT OFFICE	1
UNITED STATES PARK POLICE	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE HARPERS FERRY NATIONAL HISTORICAL PARK	1
ALASKA SUPPORT OFFICE NATIONAL PARK SERVICE	1
DEPARTMENT OF INTERIOR OFFICE OF CONSTRUCTION MANAGEMENT BUREAU OF INDIAN AFFAIRS	1
SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE	1
BUREAU OF INDIAN AFFAIRS DIVISION OF LAW ENFORCEMENT SERVICES	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF AMERICAN INDIAN TRUST	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PETROLEUM RESERVE IN ALASKA TASK FORCE NATIONAL PETROLEUM RESERVE IN ALASKA 105 C LAND USE STUDY	1
OFFICE OF YOUTH PROGRAMS UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF WATER RESEARCH AND TECHNOLOGY TECHNOLOGY TRANSFER	1
TECHNOLOGY TRANSFER OFFICE OF WATER RESEARCH AND TECHNOLOGY UNITED STATES DEPARTMENT OF INTERIOR	1
DEPARTMENT OF INTERIOR OFFICE OF WATER RESEARCH AND TECHNOLOGY	1
INDIAN ARTS AND CRAFTS BOARD UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF ACQUISITION AND PROPERTY MANAGEMENT	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF ASSISTANT SECRETARY FOR FISH AND WILDLIFE AND PARKS	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF HISTORICALLY BLACK COLLEGE AND UNIVERSITY PROGRAMS AND JOB CORPS	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF LEAD HAZARD CONTROL	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT DEPARTMENTAL ENFORCEMENT CENTER	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL	1
NATIONAL PARTNERS IN HOMEOWNERSHIP	1
OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT PARTNERSHIP FOR ADVANCING TECHNOLOGY IN HOUSING	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT	1
DISTRICT OF COLUMBIA	1
SECRETARY UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	1
NATIONAL ASSOCIATION OF REAL ESTATE BROKERS	1
GINNIE MAE	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF PUBLIC AND INDIAN HOUSING AND OFFICE OF CRIME PREVENTION AND SECURITY	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HUD TRAINING ACADEMY	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF PUBLIC AND INDIAN HOUSING OFFICE OF PUBLIC AND ASSISTED HOUSING DELIVERY OFFICE OF COMMUNITY SAFETY AND CONSERVATION OFFICE OF MULTIFAMILY PROGRAMS	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF HOUSING FEDERAL HOUSING COMMISSION	1
ADVISORY BOARD UNITED STATES GPO DISTRIBUTOR	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOUCES AND SERVICE SIC ADMINISTRATION BUREAU OF HEALTH PROFESSIONS DIVISION OF QUALITY ASSURANCE	1
OFFICE FOR ADVANCEMENT OF TELEHEALTH HEALTH RESOURCES AND SERVICES ADMINISTRATION UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOURCES AND SERVICES ADMINISTRATION OFFICE OF ORGAN TRANSPLANTATION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM WASHINGTON DC	1
NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM WHO COLLABORATING CENTER FOR RESEARCH AND TRAINING ON ALCOHOL PROBLEMS UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	1
NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF APPLIED RESEARCH FINANCING AND SERVICES RESEARCH BRANCH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION OFFICE FOR RESEARCH COMMUNICATIONS NATIONAL INSTITUTE ON DRUG ABUSE	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION DIVISION OF APPLIED RESEARCH NATIONAL INSTITUTE ON DRUG ABUSE	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF COMMUNITY ASSISTANCE	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION DIVISION OF SCIENTIFIC AND PUBLIC INFORMATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH DIVISION OF SCIENTIFIC AND PUBLIC INFORMATION WASHINGTON	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION DIVISION OF SCIENTIFIC AND PUBLIC INFORMATION NATIONAL INSTITUTE OF MENTAL HEALTH WASHINGTON	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION CENTER FOR STUDIES OF MENTAL HEALTH OF AGING NATIONAL INSTITUTE OF MENTAL HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH WASHINGTON DC	1
NATIONAL INSTITUTE OF MENTAL HEALTH DIVISION OF MENTAL HEALTH SERVICE PROGRAMS MENTAL HEALTH SERVICES DEVELOPMENT BRANCH PATIENT RIGHTS AND ADVOCACY PROGRAM	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH DISASTER ASSISTANCE AND EMERGENCY MENTAL HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH CENTER FOR MINORITY GROUP MENTAL HEALTH PROGRAMS	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVIE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTER FOR SUBSTANCE ABUSE TREATMENT	1
OSAP	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES CENTERS FOR DISEASE CONTROL AND PREVENTION DIVISION OF DIABETES TRANSLATION NATIVE DIABETES PREVENTION CENTER	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTER FOR GENERAL HEALTH SERVICES INTRAMURAL RESEARCH AGENCY FOR HEALTH CARE POLICY AND RESEARCH	1
AGENCY FOR HEALTH CARE POLICY AND RESEARCH CENTER FOR GENERAL HEALTH SERVICES INTRAMURAL RESEARCH	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES AGENCY FOR HEALTH CARE POLICY AND RESEARCH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE OFFICE OF HEALTH RESEARCH STATISTICS AND TECHNOLOGY NATIONAL CENTER FOR HEALTH STATISTICS WASHINGTON DC	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL AND PREVENTION NATIONAL CENER FOR HEALTH STATISTICS	1
PUBLIC INFORMATION OFFICE NATIONAL INSTITUTE ON AGING NATIONAL INSTITUTES OF HEALTH	1
OFFICE OF COMMUNICATIONS AND PUBLIC LIAISON NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES	1
NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES NATIONAL INSTITUTES OF HEALTH PUBLIC HEALTH SERVICE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
NATIONAL INSTITUTES OF HEALTH NATIONAL HEART LUNG AND BLOOD INSTITUTE OFICE OF PREVENTION EDUCATION AND CONTROL	1
NATIONAL ASTHMA EDUCATION PROGRAM OFFICE OF PREVENTION EDUCATION AND CONTROL NATIONAL HEART LUNG AND BLOOD INSTITUTE NATIONAL INSTITUTES OF HEALTH	1
DIVISION OF LUNG DISEASES AND OFFICE OF PREVENTION EDUCATION AND CONTROL NATIONAL INSTITUTES OF HEALTH NATIONAL HEART LUNG AND BLOOD INSTITUTE	1
NATIONAL CANCER INSTITUTE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES NATIONAL INSTITUTES OF HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER OFFICE OF CLINICAL REPORTS AND INQUIRIES	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH OFFICE OF RESEARCH ON MINORITY HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH BIOMEDICAL ENGINEERING AND INSTRUMENTATION BRANCH DIVISION OF RESEARCH SERVICES	1
OFFICE OF CLINICAL CENTER COMMUNICATIONS CLINICAL CENTER NATIONAL INSTITUTES OF HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SUBSTANCE ABUSE RESOURCE GUIDE CENTER FOR SUBSTANCE ABUSE PREVENTION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SAMHSA	1
SAMHSA PUBLIC HEALTH SERVICE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION CENTER FOR MENTAL HEALTH SERVICES CHILD ADOLESCENT AND FAMILY BRANCH	1
INDIAN HEALTH SERVICE DIVISION OF HEALTH PROFESSIONS RECRUITMENT AND TRAINING LOAN REPAYMENT PROGRAM	1
CROWNPOINT INDIAN HEALTH SERVICE UNIT	1
INDIAN HEALTH SERVICE DIABETES PROGRAM HQW	1
UNITED STATES ARMY LOGISTICS MANAGEMENT CENTER	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH OFFICE ON SMOKING AND HEALTH	1
BLACK COMMISSIONED OFFICER ADVISORY GROUP OFFICE OF UNITED STATES SURGEON GENERAL OFFICE OF MINORITY HEALTH OFFICE OF ASSISTANT SECRETARY FOR HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH OFFICE OF HEALTH MAINTENANCE ORGANIZATIONS DIVISION OF PROGRAM PROMOTION WASHINGTON DC	1
OFFICE OF HEALTH MAINTENANCE ORGANIZATIONS DHHS	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF RESEARCH INTEGRITY	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICES	1
SOCIAL SECURITY ADMINISTRATION OFFICE OF HEARINGS AND APPEALS	1
ASSISTANT SCRETARY FOR PLANNING AND EVALUATION	1
SOCIAL SECURITY ADMINISTRATION? CHICAGO REGION	1
HIV/AIDS TREATMENT INFORMATION SERVICE	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF INSPECTOR GENERAL OFFICE OF EVALUATION AND INSPECTIONS	1
UNITED STATES GENERAL SERVICES ADMINISTRATION FEDERAL CONSUMER INFORMATION CENTER	1
DEPOSITORY ADMINISTRATION BRANCH LIBRARY DIVISION LIBRARY PROGRAMS SERVICE UNITED STATES GPO	1
UNITED STATES GPO SUPT OF DOCS LIBRARY AND STATUTORY DISTRIBUTION SERVICE LIBRARY DIVISION	1
ACCOUNTING AND FINANCIAL MANAGEMENT DIVISION PROGRAM AND BUDGET INFORMATION GROUP UNITED STATES GENERAL ACCOUNTING OFFICE	1
OERI DEPARTMENT OF EDUCATION	1
NATIONAL CENTER FOR EARLY DEVELOPMENT AND LEARNING	1
ORDERING FROM UNITED STATES DEPARTMENT OF EDUCATION ED PUBS	1
LEAGUE FOR INNOVATION IN COMMUNITY COLLEGE	1
AVAILABLE FROM PUBLICATIONS DEPARTMENT RAND CORP	1
CENTER FOR STUDY OF TEACHING PROFESSION	1
UNIVERSITY OF CALIFORNIA CENTER FOR STUDY OF WRITING	1
CENTER FOR STUDY OF WRITING UNIVERSITY OF CALIFORNIA BERKELEY	1
ERIC CLEARINGHOUSE COMMITTEE ON ON TEACHER EDUCATION AMERICAN ASSOCIATION OF COLLEGES FOR TEACHER EDUCATION	1
CENTER FOR EDUCATIONAL POLICY AND MANAGEMENT COLLEGE OF EDUCATION UNIVERSITY OF OREGON	1
CENTER FOR SOCIAL ORGANIZATION OF SCHOOLS JOHNS HOPKINS UNIVERSITY	1
DEKKER	1
OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT UNITED STATES DEPARTMENT OF EDUCATION NATIONAL CENTER FOR EDUCATION STATISTICS	1
DISTRIBUTED BY EDUCATION PUBLICATIONS CENTER UNITED STATES DEPARTMENT OF EDUCATION	1
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT IN COOPERATION WITH UNITED STATES DEPARTMENT OF INTERIOR UNITED STATES GEOLOGICAL SURVEY AND NATIONAL GEOGRAPHIC SOCIETY	1
DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT NATIONAL CENTER FOR EDUCATION STATISTICS	1
WHITE HOUSE COMMITTEE ON INITIATIVE	1
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT OFFICE OF LIBRARIES AND LEARNING TECHNOLOGY	1
CLOSER LOOK	1
OERI OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT	1
UNITED STATES NATIONAL ADVISORY COMMITTEE ON BLACK HIGHER EDUCATION AND BLACK COLLEGES AND UNIVERSITIES	1
UNITED STATES DEPARTMENT OF EDUCATION SAFE AND DRUG-FREE SCHOOLS PROGRAM	1
INTERAMERICA RESEARCH	1
UNITED STATES DEPARTMENT OF EDUCATION EDUCATION PUBLICATION CENTER	1
UNITED STATES DEPARTMENT OF EDUCATION EDUCATION PUBLICATIONS CENTER	1
DEPARTMENT OF EDUCATION OFFICE OF POSTSECONDARY EDUCATION STUDENT FINANCIAL ASSISTANCE PROGRAMS	1
SFA UNIVERSITY UNITED STATES DEPARTMENT OF EDUCATION	1
HUMAN SERVICES RESEARCH INSTITUTE	1
HIGHER EDUCATION PROGRAMS OFFICE OF POSTSECONDARY EDUCATION UNITED STATES DEPARTMENT OF EDUCATION	1
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF INTERGOVERNMENTAL AND INTERAGENCY AFFAIRS OFFICE OF SAFE AND DRUG-FREE SCHOOLS	1
OFFICE OF CAREER EDUCATION DEPARTMENT OF EDUCATION	1
CIVIL SERVICE COMMISSION OFFICE OF FEDERAL EQUAL EMPLOYMENT OPPORTUNITY	1
CONSUMER AND GOVERNMENTAL AFFAIRS BUREAU CGB	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS INFORMATION ADMINISTRATION	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS AND INFORMATION INFRASTRUCTURE	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION MINORITY TELECOMMUNICATIONS DEVELOPMENT PROGRAM 2000	1
UNITED STATES DEPARTMENT OF COMMERCE INDUSTRY AND TRADE ADMINISTRATION OFFICE OF PRODUCER GOODS	1
FOR SAEL BY SUPT OF DOCS UNITED STATES GPO	1
ACTION NATIONAL VOLUNTEER AGENCY	1
NATIONAL ARCHIVES AND RECORDS ADMINISTRATIN	1
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION OFFICE OF RECORDS ADMINISTRATION RECORDS ADMINISTRATION INFORMATION CENTER	1
HERBERT HOOVER PRESIDENTIAL LIBRARY	1
PRODUCT SALES SECTION NWPS NATIONAL ARCHIVES AND RECORDS ADMINISTRATION DISTRIBUTOR	1
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION OFFICE OF RECORDS SERVICES--WASHINGTON DC	1
LAW-ARTS PUBLISHERS	1
DEPARTMENT OF TREASURY FINANCIAL MANAGEMENT SERVICE CENTER FOR APPLIED FINANCIAL MANAGEMENT	1
DEPARTMENT OF TREASURY INTERNAL REVENUE SERVICE OFFICE OF CHIEF COUNSEL	1
INTERNAL REVENUE SERVICE LEGISLATIVE AFFAIRS DIVISION	1
NORTH CENTRAL REGION UNITED STATES CUSTOMS SERVICE DEPARTMENT OF TREASURY	1
UNITED STATES CUSTOMS SERVICE OFFICE OF INVESTIGATIONS	1
